_id,wallet_id,aggregated_lp_score,lp_scores[0].total_deposit_all_time,lp_scores[0].retained_liquidity,lp_scores[0].avg_holding_days,reason
6874c110a794db5e6c4ccd3d,0x689ec5c536267cabec50e35761781c35de13907e,322.89,0.0,0.0,0.0,High score per deposit
6874c110a794db5e6c4ccd35,0x692f3d3bb0957de6188a62a0ef11463cb1202797,406.21,0.0,0.0,0.0,High score per deposit
6874c117a794db5e6c4cce31,0x69abe81b905e3b047455e193fb6e8dadc8f8216e,299.75,0.0,0.0,0.0,High score per deposit
6874c110a794db5e6c4ccd1c,0x68a8e34094d615143fbed387cd056255d2157964,354.57,0.0,0.0,0.0,High score per deposit
6874c12aa794db5e6c4cd1cf,0x6cbe677b366480e141e1815e59598101294856df,306.26,0.0,0.0,0.0,High score per deposit
6874c129a794db5e6c4cd184,0x6bdf6d03328e04cf4e5079ea347e0c413afcdf63,274.42,0.0,0.0,0.0,High score per deposit
6874c121a794db5e6c4cd056,0x6b10daf096c1268d4b21f344d8316be32c0c6a39,573.85,0.0,0.0,0.0,High score per deposit
6874c128a794db5e6c4cd104,0x6c3ccbfef607bdccc35e1638de27b8d675c8fa10,315.91,0.0,0.0,0.0,High score per deposit
6874c12aa794db5e6c4cd1dd,0x6c2693f5a936f37ed03cfa8465bf2d8beff19a0f,289.63,0.0,0.0,0.0,High score per deposit
6874c132a794db5e6c4cd2e7,0x6dba1c21fe107e5ab15f8505bb546c66a046c0b8,285.23,0.0,0.0,0.0,High score per deposit
6874c132a794db5e6c4cd318,0x6d70868a531d19aec405946b78856ae086051332,312.36,0.0,0.0,0.0,High score per deposit
6874c13da794db5e6c4cd52f,0x6eaeaacf2a58eb87eaf3b45e876cbd773c7d446c,316.42,0.0,0.0,0.0,High score per deposit
6874c134a794db5e6c4cd396,0x6d92c3e76b9a553d89692564f298c9f406b52493,333.98,0.0,0.0,0.0,High score per deposit
6874c145a794db5e6c4cd602,0x6fe4218ecfb017809cf692b30f9f386e2c8b0a15,318.38,0.0,0.0,0.0,High score per deposit
6874c13da794db5e6c4cd531,0x6e44c4774e2b9ad004361b046da11f56080bfb5c,304.3,0.0,0.0,0.0,High score per deposit
6874c14ea794db5e6c4cd7b9,0x703ed7712c07ffd090a8e5815cea4bf68061b301,353.85,0.0,0.0,0.0,High score per deposit
6874c156a794db5e6c4cd8f7,0x717ef05037ba3273caf602417f8b5c52ba7adc86,462.16,0.0,0.0,0.0,High score per deposit
